,Aurora,Incenp,Survivin,Borealin,Sgo,CenpA,Ndc10,Ctf13,Cep3,Skp1,CenpT,CenpW,CenpS,CenpX,CenpC,CenpL,CenpN,CenpH,CenpI,CenpK,CenpM,CenpO,CenpP,CenpQ,CenpR,CenpU,Plk,Mis12,Nnf1,Dsn1,Nsl1,Cep57,SKAP,Astrin,Knl1,Zwint-1,Spc24,Spc25,Nuf2,Ndc80,Mps1,ARHGEF17,Ska1,Ska2,Ska3,Dam1,Duo1,Dad1,Dad2,Dad3,Dad4,Hsk3,Ask1,Spc19,Spc34,Rod,Zwilch,ZW10,Spindly,MadBub,Bub3,BugZ,CenpF,CenpE,Mad1,Mad2,Cdc20,Apc15,p31comet,TRIP13,HORMAD,Apc1,Apc2,Apc3,Apc4,Apc5,Apc6,Apc7,Apc8,Apc9,Apc10,Apc11,Apc12,Apc13,Apc16,Cdh1,NAG,RINT1,Nup107,Nup133,Nup160
Aurora,1,0.02695819330086,0.089014863472041,0.059671591122887,0.192897128868165,-0.06263120159985,0.040048086573164,0.040048086573164,0.040048086573164,0,0.133750094043068,0.10028244211278,0.049154739982021,0.098344816503745,0.100451796928981,0.156327582237021,0.148701329511201,0.144931885079951,0.152498570332605,0.137460353692289,0.115278083540847,0.172041589937073,0.133750094043068,0.092563121471504,0.040048086573164,0.115278083540847,0.048224282217041,0.094124161067002,0.082042112833766,0.171555824478299,0.270351069901115,0.144931885079951,0.052306578096594,0.052306578096594,0.107000075234454,0.154078908606984,0.087994358798542,0.02695819330086,0.033671120484812,0.311552022152144,0.204961197544044,0.096448564434082,0.061443424977526,-0.04915473998202,0.141186241600504,0.133750094043068,0.104074372407599,0.115278083540847,0.115278083540847,0.118977782973351,0.104074372407599,0.10028244211278,0.141186241600504,0.096448564434082,0.115278083540847,0.168045239914159,0.152498570332605,0.161749159805158,0.12266979912335,0.144097604426059,0.095311606457878,-0.00812820110953,0.080475478376701,0.391233314354978,0.171416613377222,0.171416613377222,0.158507364868665,0.052212642232526,-0.00959461624427,-0.00812820110953,-0.14493188507995,0.138683374971103,0.122094711383948,0.158507364868665,0.135974609112401,0.368090198643912,0.107832773203438,0.029014469134051,0.260312562725564,0.040048086573164,0.18307302333808,-0.11156510953361,0.168045239914159,0.033961380837379,0.062631201599853,-0.07188851546896,0.135974609112401,0.008498413069525,0.064757091794389,0.347750244511977,0.204457480737788
Incenp,0.02695819330086,1,0.066931612237974,0.253628636750894,0.335410196624969,0.062230486023377,0.092847669088526,0.092847669088526,0.092847669088526,0,0.186052101883813,0.159840503272751,0.284901441149095,0.200197823985058,0.355460494937959,0.128604402724863,0.106991332732232,0.096003072147464,0.117851130197758,0.012257258446136,0.066815310478106,0.113960576459638,0.124034734589208,0.214598768819738,0.092847669088526,0.066815310478106,0,0.157601809614883,0.249646443041874,0.138342892773215,0.113960576459638,0.096003072147464,0.121267812518167,0.121267812518167,0.248069469178417,0.15876322406928,0.084002688129031,0.027777777777778,0.113546591160732,-0.15617376188861,0.168613318358366,0.149071198499986,0.056980288229819,0.113960576459638,0.024246432248444,0.062017367294604,0.241286506216555,0.133630620956212,0.267261241912424,0.210162774997094,0.241286506216555,0.159840503272751,0.024246432248444,0.149071198499986,0.200445931434318,0.160422236979937,0.117851130197758,0.166666666666667,0.155126306998506,0.33407655239053,0.088388347648318,0.075377836144441,0.101768029732914,0.130744090092123,0.113546591160732,0.468379688538019,0.089087080637475,0.265157211148662,0.200197823985058,0.201007563051842,0.084002688129031,-0.04148699068225,0.331869244013288,0.089087080637475,0.380920029682232,0.280214991161967,0.203703703703704,0.123323345565991,0.061898446059017,0.092847669088526,0,0.149746511782266,0.275009549108463,0.303696857699447,0.145204467387879,0.018518518518518,0.249568295309049,0.118216560935865,0.347676747682558,0.496138938356834,0.32401036849769
Survivin,0.089014863472041,0.066931612237974,1,0.186733509242025,0.214517876557799,0.015735149981834,-0.04557259068731,-0.04557259068731,-0.04557259068731,0,0.279495440238686,0.391625641292397,0.180519041031629,-0.02630284613594,0.090790719682197,0.275968079277661,0.324106189889075,0.300934158669092,0.347070510520946,0.401448121968268,0.369690000071716,0.139838693756895,0.329306508796075,0.346090544770619,0.20300517669801,0.316025322641951,0.409080601807896,0.258033595423735,0.201041319096496,0.09413838069226,0.272049822399778,0.397318764648516,0.2651439066775,0.2651439066775,0.318237382449989,0.063757671306334,-0.01178034073082,-0.04462107482532,0.042432531625369,0.050522648083624,0.269485523003209,0.488901207038705,0.094073303072821,-0.0432228689794,0.082765492871764,0.179873303123907,0.242562083768901,0.20869596778242,0.155031290352655,0.128357116937029,0.071565314532339,0.099851570793095,0.228822244998406,0.249439391346278,0.10136661292289,0.345639410327872,0.441726104299386,0.122707955769619,0.621817579250648,0.113292096796171,0.323406612076336,0.047088160934801,0.407933065113437,0.030628194591584,0.270428223940785,0.042432531625369,0.244472419402264,0.322539697781679,0.063027574703091,0.097539761936374,0.132796568238318,0.265646355575673,0.050522648083624,0.155031290352655,0.082640883507402,0.229041278063127,0.081805303846413,0.124563839756535,0.169861474379967,-0.04557259068731,0.027055500681378,-0.12817003770828,0.115554004044525,0.194736915633656,0.31747979080995,0.156173761888606,0.13539038361851,0.293638883951833,0.058528997472244,0.118993108220431,0.229181174217743
Borealin,0.059671591122887,0.253628636750894,0.186733509242025,1,0.216540878711411,0.037306296972347,-0.24405148745018,-0.24405148745018,-0.24405148745018,0,0.111535605918289,0.112574242353129,0.244367355047707,0.220028905103911,0.278095552908821,0.357447511480793,0.228600797287283,0.212501483455933,0.244557994022259,0.179744686636189,0.295789546658614,0.275898626666765,0.163013577880576,0.008482346989741,0.141292966418526,0.129407926663144,0.092803233733462,0.30692042426617,0.462135424731846,0.425837320574163,0.244367355047707,0.312111553825902,0.184541939824473,0.184541939824473,0.351766141742295,0.225912997889962,0.335353903578894,0.080700020784375,0.221880639885699,0.08642211997978,0.50045847239471,0.216540878711411,0.370492441523942,0.323195534095354,0.347172283186323,0.060057633956002,0.072651182971424,0.129407926663144,0.073947386664654,0.092675052410222,0.013744818399999,-0.06834864714297,0.045283341285173,-0.03093441124449,0.073947386664654,0.307535400558372,0.195646395217807,0.311271508739734,0.218182990896558,0.591579093317228,0.391292790435615,0.271127685483391,0.283924153105817,0.31200964472697,0.339693369028548,0.516412462742822,0.351250086657104,0.196172248803828,0.358508635588891,0.062567927419244,-0.013281342716,0.123397751523918,0.410505069903956,0.351250086657104,0.506987051420627,0.452854472103283,0.284371501811608,0.544398076236051,0.244051487450181,-0.24405148745018,0.016776539984043,0.001883305965696,0.164864338443663,0.329890073551804,0.220968066682364,0.05380001385625,0.343442841284941,0.23441336786115,0.343249150128588,0.403244113704582,0.434963973948863
Sgo,0.192897128868165,0.335410196624969,0.214517876557799,0.216540878711411,1,0.176258689560086,0.20761369963435,0.20761369963435,0.20761369963435,0,0.343914121659642,0.28593138470052,0.254823595718813,0.353150799776079,0.372749658205487,0.245740086815127,0.292404313657583,0.268336744213182,0.316227766016838,0.317933531998798,0.167332005306815,0.295595371033823,0.244068086339101,0.356465523119603,0.20761369963435,0.436258442407054,-0.08,0.341565025531987,0.425315365320121,0.262942495578142,0.300691842948199,0.075134288379691,0.27116307227332,0.27116307227332,0.305085107923876,0.182574185835055,0.214669395370546,-0.05590169943749,0.203118317159019,0.122225301759676,0.260494036125864,0.26,0.157990629345664,0.020385887657505,0.097590007294853,0.14422205101856,0.368151949850721,0.27490258014691,0.27490258014691,0.246717581897584,0.253897896448773,0.344417349752899,0.097590007294853,0.32,0.27490258014691,0.087116506554646,0.079056941504209,0.279508497187474,0.167655267647794,0.42430615631371,0.245076518663049,-0.01685499656158,0.144121480532043,0.15348515337873,0.260245343859993,0.374499397261941,0.149403576166799,0.479483374289553,0.084557233749202,0.134839972492648,0.069767553495427,0.176258689560086,0.279372118307831,0.239045721866879,0.334831004003865,0.421517298844518,0.223606797749979,0.150414209399047,0.16609095970748,0.20761369963435,0.021693045781866,0.188729904943586,0.225478016964967,0.311876909176894,0.324687059715949,0.074535599249993,0.229094897476328,0.281962950740096,0.303904001878294,0.355008125584147,0.45617246516241
CenpA,-0.06263120159985,0.062230486023377,0.015735149981834,0.037306296972347,0.176258689560086,1,0.053927585352822,0.053927585352822,0.053927585352822,0,-0.09777072968538,-0.08198699999177,0.023639406868625,0.028608195889614,0.455631023182549,-0.05141394760905,-0.06608803209281,-0.07368325335351,-0.05867146488489,-0.08949895098229,-0.04435145861179,-0.02363940686862,-0.09777072968538,0.124642799714259,0.053927585352822,0.055439323264738,-0.12987482388638,0.08147883221029,0.154863000575681,0.037306296972347,-0.06146245785842,-0.07368325335351,0.070434512511974,0.070434512511974,0.097770729685382,0.016936993022519,-0.0159315142386,0.269665439434632,0.177829165448121,0.346636098129232,0.104292954862951,0.129874823886379,0.146564322585474,0.146564322585474,0.099585239368132,-0.09777072968538,-0.07183827213467,-0.14414224048832,-0.04435145861179,-0.03596596198825,0.034152621178778,-0.08198699999177,-0.08147883221029,-0.09276773134741,-0.04435145861179,0.140714929417179,0.117342929769771,0.165947962729004,0.165183573760822,0.144142240488319,0.161346528433436,0.200140773489451,0.108365932066198,0.130180292337871,0.177829165448121,-0.03415262117878,-0.07761505257063,0.220968066682364,0.111664248472365,0.106324785916271,0.163298020945622,0.070567986230637,0.05507302493642,-0.07761505257063,0.13405494922893,0.115195923934785,-0.09680297825859,0.1646523026267,-0.05392758535282,0.053927585352822,-0.07043451251197,0.053088911006089,0.055145039906732,0.087729633950145,0.08433734939759,0.318066928563925,0.13405494922893,0.035965961988249,-0.00131127836287,-0.08747907392903,0.252912788537732
Ndc10,0.040048086573164,0.092847669088526,-0.04557259068731,-0.24405148745018,0.20761369963435,0.053927585352822,1,1,1,0,0.299424735808171,0.07555325606086,0.14813363449167,0.194140302608791,0.1183580191185,-0.00434204328274,0.269318954341609,0.276323505701118,0.262612865719445,0.291342816291692,-0.09925833339709,0.232781425629767,0.299424735808171,0.432657044582197,-0.03448275862069,0.347404166889826,0.08304547985374,0.121566134770966,0.128036879932896,0.141292966418526,0.14813363449167,-0.12479126063921,-0.0450377349111,-0.0450377349111,0.11516335992622,0.151619608715781,0.124791260639215,0.092847669088526,0.089611558738885,0.058001479056574,0.07969998189672,-0.08304547985374,-0.14813363449167,-0.14813363449167,-0.12156613477097,0.299424735808171,0.384802575761095,0.347404166889826,0.347404166889826,0.336601385337074,0.384802575761095,0.39935292489312,0.283654314465588,0.4152273992687,0.347404166889826,-0.14469264180024,-0.13130643285972,0.092847669088526,-0.1056228508069,0.099258333397093,0.065653216429861,-0.30794088102572,-0.06929211188851,0.072835704072923,0.089611558738885,0.089611558738885,0.049629166698547,0.244051487450181,-0.17761772366336,0.111978502191171,0.124791260639215,0.053927585352822,0.058001479056574,0.049629166698547,-0.04390452852223,-0.03311293843843,0.061898446059017,-0.2123507433382,0.03448275862069,1,0.045037734911105,0.096061337050653,0.238317292376868,0.158741736767753,-0.05392758535282,0.061898446059017,0.102443899885196,0.102443899885196,0.076300487825794,0.11516335992622,0.124791260639215
Ctf13,0.040048086573164,0.092847669088526,-0.04557259068731,-0.24405148745018,0.20761369963435,0.053927585352822,1,1,1,0,0.299424735808171,0.07555325606086,0.14813363449167,0.194140302608791,0.1183580191185,-0.00434204328274,0.269318954341609,0.276323505701118,0.262612865719445,0.291342816291692,-0.09925833339709,0.232781425629767,0.299424735808171,0.432657044582197,-0.03448275862069,0.347404166889826,0.08304547985374,0.121566134770966,0.128036879932896,0.141292966418526,0.14813363449167,-0.12479126063921,-0.0450377349111,-0.0450377349111,0.11516335992622,0.151619608715781,0.124791260639215,0.092847669088526,0.089611558738885,0.058001479056574,0.07969998189672,-0.08304547985374,-0.14813363449167,-0.14813363449167,-0.12156613477097,0.299424735808171,0.384802575761095,0.347404166889826,0.347404166889826,0.336601385337074,0.384802575761095,0.39935292489312,0.283654314465588,0.4152273992687,0.347404166889826,-0.14469264180024,-0.13130643285972,0.092847669088526,-0.1056228508069,0.099258333397093,0.065653216429861,-0.30794088102572,-0.06929211188851,0.072835704072923,0.089611558738885,0.089611558738885,0.049629166698547,0.244051487450181,-0.17761772366336,0.111978502191171,0.124791260639215,0.053927585352822,0.058001479056574,0.049629166698547,-0.04390452852223,-0.03311293843843,0.061898446059017,-0.2123507433382,0.03448275862069,1,0.045037734911105,0.096061337050653,0.238317292376868,0.158741736767753,-0.05392758535282,0.061898446059017,0.102443899885196,0.102443899885196,0.076300487825794,0.11516335992622,0.124791260639215
Cep3,0.040048086573164,0.092847669088526,-0.04557259068731,-0.24405148745018,0.20761369963435,0.053927585352822,1,1,1,0,0.299424735808171,0.07555325606086,0.14813363449167,0.194140302608791,0.1183580191185,-0.00434204328274,0.269318954341609,0.276323505701118,0.262612865719445,0.291342816291692,-0.09925833339709,0.232781425629767,0.299424735808171,0.432657044582197,-0.03448275862069,0.347404166889826,0.08304547985374,0.121566134770966,0.128036879932896,0.141292966418526,0.14813363449167,-0.12479126063921,-0.0450377349111,-0.0450377349111,0.11516335992622,0.151619608715781,0.124791260639215,0.092847669088526,0.089611558738885,0.058001479056574,0.07969998189672,-0.08304547985374,-0.14813363449167,-0.14813363449167,-0.12156613477097,0.299424735808171,0.384802575761095,0.347404166889826,0.347404166889826,0.336601385337074,0.384802575761095,0.39935292489312,0.283654314465588,0.4152273992687,0.347404166889826,-0.14469264180024,-0.13130643285972,0.092847669088526,-0.1056228508069,0.099258333397093,0.065653216429861,-0.30794088102572,-0.06929211188851,0.072835704072923,0.089611558738885,0.089611558738885,0.049629166698547,0.244051487450181,-0.17761772366336,0.111978502191171,0.124791260639215,0.053927585352822,0.058001479056574,0.049629166698547,-0.04390452852223,-0.03311293843843,0.061898446059017,-0.2123507433382,0.03448275862069,1,0.045037734911105,0.096061337050653,0.238317292376868,0.158741736767753,-0.05392758535282,0.061898446059017,0.102443899885196,0.102443899885196,0.076300487825794,0.11516335992622,0.124791260639215
Skp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
